companhia;receitas;ativos;passivos;depreciacao;ganhosPorAcao
36369.0;61863512.0;241456360.0;246007869.0;5210982.0;0.73
36506.0;;739269000.0;662667000.0;1457000.0;0.9
36840.0;;352115000.0;330878000.0;6883000.0;
36966.0;1162045000.0;26195136000.0;23555550000.0;;0.34
37472.0;;246896000.0;37246000.0;7556000.0;3.19
37634.0;;82479000000.0;;;6.11
37637.0;;121156000000.0;;;4.05
37785.0;3276500000.0;6325900000.0;;74100000.0;3.66
37808.0;;17557662000.0;15461480000.0;20009000.0;0.87
37996.0;149558000000.0;224925000000.0;196174000000.0;;1.86
38009.0;9697000000.0;137448000000.0;125734000000.0;;
38079.0;337211000.0;797721000.0;3100669000.0;;-11.17
38264.0;;12778424.0;5445111.0;;-0.23
38723.0;;674413809.0;449923441.0;;152.15
38725.0;;996408000.0;;26800000.0;1.52
38777.0;7948700000.0;16335700000.0;3780300000.0;;3.29
38984.0;1145600000.0;700900000.0;536600000.0;;
39020.0;60394000.0;120214000.0;26862000.0;2660000.0;0.12
39092.0;;66890397.0;3651350.0;1673721.0;0.04
39263.0;1065362000.0;28567118000.0;25676775000.0;;4.31
39311.0;;2409066000.0;2157974000.0;6600000.0;0.88
39368.0;;2042252000.0;1164727000.0;48305000.0;1.72
39677.0;;742016000.0;440335000.0;;
39899.0;3050945000.0;8537758000.0;6056348000.0;90803000.0;2.04
39911.0;;7473000000.0;;588000000.0;2.24
40211.0;1449900000.0;6894200000.0;5614000000.0;303300000.0;4.76
40533.0;31469000000.0;31997000000.0;;366000000.0;9.23
40545.0;117386000000.0;492692000000.0;389582000000.0;4847000000.0;-0.62
40570.0;;26874000.0;;176000.0;-1.14
40704.0;;21712300000.0;15559600000.0;;2.83
40729.0;4861000000.0;158581000000.0;145142000000.0;;-2.66
40888.0;;2034900000.0;2180400000.0;49800000.0;-0.27
40987.0;;8144771000.0;;;4.65
41091.0;17489000000.0;78318000000.0;56175000000.0;;2.6
41719.0;;1503624000.0;840377000.0;;1.49
42228.0;;43084906.0;;3876111.0;0.28
42316.0;120571171.0;81163607.0;45912794.0;6559241.0;
42582.0;;16439000000.0;12297000000.0;697000000.0;1.14
42682.0;;364201000.0;77180000.0;13800000.0;0.96
42888.0;;1391352000.0;;25700000.0;6.0
43196.0;;2143161000.0;1713887000.0;36712000.0;0.58
43350.0;;197689000.0;;;
43920.0;;3315700000.0;;113400000.0;
44545.0;17489000000.0;78318000000.0;56175000000.0;;2.6
45012.0;;36942000000.0;21447000000.0;;-0.79
45876.0;;2071327000.0;1760524000.0;144652000.0;0.08
45919.0;495301000.0;414621000.0;274305000.0;13586000.0;-2.77
45947.0;2499000000.0;175350000000.0;167188000000.0;;
46080.0;1971875000.0;4720717000.0;3016645000.0;111605000.0;3.61
46129.0;;166086000.0;101489000.0;4822000.0;1.2
46195.0;;15455016000.0;14338756000.0;;3.72
46207.0;2602982000.0;11790196000.0;9828263000.0;183966000.0;1.5
46250.0;;436491000.0;235516000.0;;1.72
46619.0;;1736387000.0;751834000.0;17830000.0;2.0
46765.0;;7152012000.0;;;3.9
47111.0;;5344371000.0;4296909000.0;;
47129.0;10535000000.0;23353000000.0;21405000000.0;;
47217.0;103355000000.0;106882000000.0;;3100000000.0;2.51
47307.0;5852924.0;3866575.0;;68686.0;-0.07
47518.0;1988200000.0;4457600000.0;3300700000.0;73600000.0;0.83
48039.0;;8388299000.0;;233300000.0;3.91
48287.0;;1263925000.0;;46500000.0;2.38
48465.0;;6139831000.0;;125292000.0;2.6
48732.0;2846000000.0;10046000000.0;;316000000.0;
48898.0;;3208700000.0;1459700000.0;51200000.0;4.79
49071.0;54289000000.0;24705000000.0;14359000000.0;354000000.0;8.54
49196.0;;71044551000.0;64449945000.0;;0.82
49600.0;235008000.0;1666232000.0;1107031000.0;;1.49
49615.0;;44428000.0;23858000.0;;
49648.0;;6023314000.0;;;3.88
49728.0;;68262000.0;59574000.0;3809000.0;-1.01
49754.0;681100000.0;2331850000.0;2064627000.0;22800000.0;5.55
49826.0;;15729000000.0;;244000000.0;5.16
50104.0;;16332000000.0;8592000000.0;491000000.0;12.5
50172.0;16453200000.0;61683100000.0;43778200000.0;1674300000.0;4.17
50292.0;;14702091.0;1121523.0;;
50493.0;;1671383492.0;1242405092.0;102900000.0;
50725.0;;1731433000.0;1300908000.0;;0.77
50863.0;;103065000000.0;;7821000000.0;2.41
51143.0;81741000000.0;110495000000.0;96071000000.0;2662000000.0;13.48
51253.0;;3721454000.0;;74800000.0;5.19
51434.0;;30587000000.0;;1213000000.0;2.25
51548.0;647469000.0;2122199000.0;;94700000.0;
51644.0;7613800000.0;12585100000.0;10331400000.0;;1.11
52485.0;3253600000.0;12495200000.0;;;
52795.0;;4142000000.0;2962600000.0;23800000.0;3.84
52827.0;;2319263000.0;;;0.37
52988.0;12114832000.0;7785926000.0;;;2.42
53320.0;;14630.0;1432442.0;;
53669.0;;29673000000.0;;;2.39
54187.0;;66436103.0;20051434.0;;1.1
54381.0;;1441205000.0;;24100000.0;2.22
54476.0;;10738600000.0;;299400000.0;
54480.0;2418800000.0;8341000000.0;4116300000.0;;4.41
54507.0;2459164000.0;10705666000.0;;287900000.0;2.11
54681.0;200000.0;81606000.0;90344000.0;2986000.0;-1.0
55067.0;;15265000000.0;;;1.74
55135.0;;1939600000.0;;21400000.0;1.39
55242.0;2098436000.0;2368793000.0;1372992000.0;96704000.0;-2.83
55362.0;68176711.0;570038084.0;520787082.0;;
55387.0;7669000000.0;39301000000.0;;883000000.0;1.01
55529.0;128626000.0;72405000.0;33853000.0;2592000.0;1.43
55785.0;;14842000000.0;;;2.78
56047.0;2147532000.0;4156266000.0;;;4.12
56679.0;1346714000.0;1898600000.0;851299000.0;24500000.0;0.58
56701.0;;24120471.0;5934277.0;;0.19
56868.0;79106000.0;226795000.0;163894000.0;;-5.53
56873.0;;33897000000.0;27099000000.0;;2.09
56978.0;;904466000.0;132575000.0;9089000.0;0.67
57131.0;;800029000.0;;23300000.0;1.57
57183.0;1976400000.0;5290200000.0;;;3.16
57515.0;;634732000.0;;20114000.0;4.45
57528.0;;1818258000.0;710671000.0;59600000.0;0.72
58361.0;648543000.0;763484000.0;922067000.0;18418000.0;0.44
58492.0;4418600000.0;2967600000.0;;83500000.0;2.31
59255.0;;2537400000.0;;;
59440.0;;1310756000.0;1432917000.0;;0.49
59478.0;19958700000.0;35568900000.0;;717600000.0;2.27
59527.0;2535791000.0;1784171000.0;;;1.72
59558.0;13572000000.0;251937000000.0;238320000000.0;;4.6
59860.0;;850988.0;1494868.0;69425.0;
60086.0;13415000000.0;76029000000.0;53219000000.0;;0.72
60519.0;;2176300000.0;;;-0.62
60549.0;7669000000.0;39301000000.0;;883000000.0;1.01
60667.0;;31266000000.0;23612000000.0;;2.73
60714.0;;1361827000.0;;40496000.0;-1.67
60977.0;;358260000.0;;16400000.0;2.76
61004.0;20713000.0;15803000.0;;804000.0;
61339.0;;1730673000.0;;;
61986.0;;3448900000.0;;69900000.0;0.47
62709.0;;18216000000.0;;314000000.0;3.01
62996.0;;5680000000.0;5622000000.0;116000000.0;1.03
63276.0;;6552689000.0;;233025000.0;1.08
63296.0;;2163018000.0;1428972000.0;43820000.0;1.93
63330.0;22786000.0;46599000.0;;2115000.0;
63754.0;;4507800000.0;2820900000.0;71500000.0;3.14
63908.0;25413000000.0;37938700000.0;;1438000000.0;4.82
64040.0;5313000000.0;8183000000.0;7020000000.0;90000000.0;4.26
64463.0;;2586000.0;;80000.0;-0.54
64472.0;;120144000.0;7399000.0;;-0.19
64803.0;153290000000.0;93657000000.0;;1500000000.0;4.66
64996.0;3009300000.0;4628645000.0;2807760000.0;20500000.0;1.35
65011.0;1649628000.0;2628285000.0;1739242000.0;39430000.0;0.76
65172.0;9721508.0;9816961.0;827794.0;;652
65270.0;809100000.0;655900000.0;;21500000.0;
65596.0;10096000.0;17785000.0;2102000.0;;
65759.0;;26993000.0;;308000.0;
65770.0;9188000.0;14042000.0;14195000.0;429000.0;
65984.0;;44647681000.0;;;-0.99
66004.0;;584722000.0;;;1.23
66382.0;;1235200000.0;683500000.0;47000000.0;2.28
66418.0;;16467260.0;7123249.0;;-1.95
66570.0;1129922000.0;1424818000.0;907690000.0;26900000.0;1.89
66649.0;;3203934.0;984869.0;69992.0;
66740.0;;32718000000.0;20971000000.0;;7.72
66756.0;1486400000.0;4907100000.0;3084700000.0;165900000.0;2.92
66901.0;;44647681000.0;;;-0.99
66904.0;17489000000.0;78318000000.0;56175000000.0;;2.6
67215.0;;1358864000.0;851664000.0;;2.48
67279.0;;47419000.0;13948000.0;1300000.0;0.52
67347.0;1352500000.0;920900000.0;538200000.0;48600000.0;-0.03
67625.0;;915991942.0;469981302.0;;0.29
67716.0;4191549000.0;6627608000.0;;;-3.2
67887.0;;3086471000.0;2091939000.0;78610000.0;3.39
68270.0;1091228000.0;837917000.0;430137000.0;;-0.83
68505.0;5695000000.0;8387000000.0;;142000000.0;3.06
68589.0;1134900000.0;4377800000.0;;;1.18
68622.0;8964000000.0;21470000000.0;;986000000.0;
68709.0;563934000.0;460831000.0;202689000.0;;3.03
69488.0;;429916000.0;;24712000.0;0.58
69733.0;100890000.0;71549000.0;143885000.0;;1.38
69891.0;;305498000.0;;10100000.0;1.31
70145.0;;6702139000.0;;;-4.5
70318.0;;23682000000.0;20458000000.0;;-1.41
